DV01,Vega,Gamma,MarketMove,VaR,ResidualPnL,TradeCount,ReconBreak
209015,75725,2581,0.31334577660740376,277401,99994,315,0
244330,121912,14662,1.0142194082477811,298102,14067,882,1
96368,124632,19813,1.4390218368484784,286696,75523,501,1
207934,123799,1837,0.9647818683373219,178260,43989,152,0
154226,57149,2576,1.4582936043641361,326062,87380,666,1
199299,41335,17156,0.23630390014746588,182808,62073,975,1
88838,87511,23118,0.5035516111242964,427168,35515,532,0
213356,105220,29623,0.38700866351830643,564246,79012,881,1
90062,139059,25012,0.7950754963171427,168325,40519,503,0
187736,54337,24823,1.3924024658821548,361867,4477,232,0
169995,47927,8046,1.2156188338760356,385038,66494,930,1
150639,98965,16961,1.1312522685833126,360789,32678,749,1
84586,58271,5628,0.34178241062252346,582663,51238,677,0
92649,56627,22229,1.2001651535974798,591216,39182,129,0
187267,132978,2470,0.24206086672487315,333484,60343,618,0
59323,137549,17852,0.9151967397401535,209370,26871,982,1
121636,144910,25624,1.249753925761222,260852,77694,305,1
126337,140420,25752,0.285532648048073,227768,10023,682,0
204463,76299,22149,0.7682869075815153,593332,25988,237,0
187471,49822,3806,1.303150993856817,247832,96638,670,1
150385,105872,18358,1.163291341293222,272970,10070,939,1
117130,50435,8341,1.0567217362678902,464258,81898,261,1
206044,120690,29009,0.15007320712644512,431804,42241,214,0
187886,86254,13236,0.7846587123051145,574868,68717,121,0
228707,86112,10179,1.4711649645446745,406416,86338,305,1
71994,137500,17278,1.477865209902584,118284,23566,722,1
205773,21135,2590,1.2301424055193946,239174,90819,351,1
139345,43356,5647,1.300503053551015,541283,40919,907,1
218456,66679,2266,0.42773146668943607,578040,24832,815,1
64132,137011,13883,1.0618670541903759,277976,5121,805,1
137844,65963,14743,1.2289181019611268,594320,68879,445,1
249346,130370,24993,0.5398628633814657,282795,56573,514,0
231585,93492,23380,1.1641982245240752,361043,68193,196,1
198165,42342,13733,0.8635748952531084,359207,99756,703,1
179649,144120,27211,0.5603440968136587,148161,5334,929,1
135638,110722,4742,0.28865371167792764,598895,6409,238,0
73877,91805,9945,0.8201219996114054,276880,96612,599,1
150459,131096,14204,1.4146552867923603,250688,73454,355,1
138503,85464,23447,0.1456524197103705,566684,73683,943,1
84220,140016,4041,0.40806566531294497,220983,59947,934,1
235600,140026,3937,0.4440190990078966,450122,62558,318,0
130030,118760,14435,0.9539492192373704,261073,65868,100,1
182369,26373,3819,0.5268602053155144,542100,27958,402,0
247717,83352,15859,1.3980635284940472,488205,23502,923,1
75064,104000,23866,1.1658365419969823,467847,59339,687,1
142856,138980,11596,0.8821236992942345,566019,6760,711,1
91923,30560,21953,1.2500473560794754,286961,44145,675,0
129267,28249,17845,1.399054030705855,214195,68917,685,1
111577,129097,13035,0.9251264097789061,170063,7735,897,1
96281,23981,29797,1.44532734041696,411765,30307,287,0
89142,107201,27427,0.48844138169234297,239720,75816,737,1
218384,120402,8416,0.33440942211121605,250010,48846,569,0
169064,116029,23284,1.0132910328752704,317239,73310,635,1
83334,118129,17236,1.1971639849001674,356574,81717,909,1
59122,33773,13635,1.4414723935112506,466733,79557,168,1
248157,92525,2607,0.33920018006355035,178003,55961,947,1
145399,64978,9986,0.6596871061940083,316709,26221,740,1
100041,119755,10044,0.7074931833121705,530702,79066,359,0
231405,72280,10158,0.4545147950666786,317887,17404,180,0
101322,94852,13074,0.5375550963899409,161407,38860,217,0
100601,127118,10321,0.8105030707237184,418406,1544,395,0
68824,73008,16338,0.7943697491561247,351758,29750,355,0
73319,138046,25454,1.375878819157561,114437,60283,632,1
149164,121652,28743,0.6413179124871888,557307,8498,216,0
74303,58205,19818,0.9213614565527762,131807,63825,297,1
160089,48853,1507,0.6666015813085782,381483,29217,389,0
63689,82135,4793,1.3116408180115422,215971,29480,282,0
130464,62957,8269,0.2350810093529364,234616,90749,344,0
169340,46041,9596,1.1961321273160446,114270,54303,413,1
239852,111479,5885,1.349272357535302,374090,80299,154,1
203705,58471,24776,0.3726784542125441,234794,87474,441,0
166927,87810,11394,0.4935783756280582,244539,46629,795,1
59844,144972,20632,0.4867922851395047,312967,54658,237,0
75191,57907,4628,1.1383550383176235,381344,83701,705,1
244974,67870,4803,1.0957191592801052,427294,3309,816,1
110696,93533,12603,1.2777698049694657,523536,15113,577,0
195903,41145,27988,0.4023930759399238,464270,93357,161,0
165175,88230,17367,0.4687714884351708,454893,2394,118,0
169778,61628,1581,0.1347752849224848,386981,5949,885,1
126975,42872,6841,0.8519014614156462,208481,71638,232,1
235917,32939,19227,0.35923408419619407,540790,50374,464,0
158953,22263,5917,0.3414384084727976,403517,83305,711,1
67499,98651,20701,0.4608867676379943,585991,94690,967,1
66303,69375,16000,1.3622888539967306,282913,5660,777,1
123096,17320,10164,0.3019101663064201,581444,69468,769,1
73520,14981,5845,0.6632148409292794,161507,56560,691,0
117211,49748,7917,0.9067664669025578,104385,85442,375,1
166966,103001,11095,1.1442567345115866,577756,74332,511,1
211114,22712,22964,1.4152657840837055,246275,34157,425,0
82259,84642,20944,0.26402089062394746,387932,57953,292,0
171341,104837,4868,1.2701047097195073,510738,17292,121,0
147505,92343,29679,1.1536072039423604,238619,59554,831,1
134527,122270,22224,0.1553821949024615,535337,90276,265,0
96596,17021,24077,0.5799456291226558,503756,5101,670,0
245357,37007,23756,1.0110207303584613,488196,36469,522,0
114587,132140,13512,0.3929944449333411,117756,57952,154,0
228743,13946,29338,1.1814753604582453,560904,90952,919,1
94449,98143,12649,1.1636179377405271,210959,80430,245,1
163518,28136,12388,0.7975206005280605,311059,16535,752,1
139138,34950,10149,0.3972653080416988,397465,16717,596,0
225168,43079,20937,0.4329958416909859,397751,77834,996,1
208507,31508,22385,1.0216747107818367,517250,83243,179,1
177067,22637,13953,0.2442680794078226,192366,25687,907,1
209478,86790,8940,1.4837926879946004,335791,94103,370,1
78117,54856,17950,0.8958081309437147,122197,94049,610,1
154284,144841,26782,0.4611900110829904,464346,26704,398,0
61665,66890,17798,0.6124864329412805,138766,19464,555,0
233202,33824,12549,1.024405753117036,389578,95515,962,1
157509,137982,3212,1.2352995593858374,542769,59222,758,1
218159,85698,25119,1.0443584985597572,367628,48714,950,1
150917,60037,1077,0.9679836330585662,477282,85204,297,1
123606,87075,16899,0.967593929519089,193618,77984,591,1
225840,70836,6440,0.3483176616134969,291063,97297,430,0
80112,22004,29223,0.9034515222308338,189924,19535,426,0
72003,41596,1215,0.45442862977757004,162233,50766,319,0
173713,148960,16018,1.439241853367087,494599,43641,957,1
205717,135346,5593,0.9341276052033619,597999,66730,353,1
177569,144164,23807,1.426866914739083,266312,79066,775,1
72083,89926,27740,0.2838181646961332,516257,35901,324,0
197961,102348,25231,1.1571561493600522,416835,50507,950,1
127905,24292,2856,0.3410994407403598,437254,71429,408,0
222596,108758,15866,0.92789800475491,198767,23429,789,1
127013,130814,22665,1.4911776151149267,105332,44371,214,0
59960,39386,28451,0.349666935578185,329315,53629,278,0
81751,52789,5031,0.3025603664378663,127284,44692,534,0
100191,12308,27615,1.3909972253197642,590785,32581,261,0
246230,64022,26004,1.0255502975128103,333713,32482,721,1
199847,94762,4391,1.4222829272130384,446069,60731,622,1
106205,51706,24539,0.30698571367720495,554140,20495,738,1
83134,136132,22347,1.2718740343439514,148424,5266,196,0
103217,31485,23183,0.4365601932505623,167666,73635,765,1
235223,16518,20965,1.3569043419793165,443543,97795,736,1
228671,117269,22697,0.677000458988963,126344,49446,498,0
200442,57574,2547,1.4710901130008278,367835,37510,719,1
168032,100948,28755,0.34409098493343737,310902,50628,923,1
76303,109054,8490,0.5939720568493317,171438,25934,507,0
237336,95007,29721,0.5181290047988096,258993,8474,477,0
156212,12275,15996,1.1119721539304355,467650,18014,196,0
198321,117354,22334,1.0162193126058974,191997,69445,901,1
96474,84893,25935,1.202719475698822,519071,69761,236,1
121963,114319,7855,0.8095364191686185,138346,43394,303,0
143142,124497,13652,0.8293091895609956,597979,75747,559,1
138168,47693,4067,0.1705623855443909,190544,20018,669,0
110509,105264,26311,0.9606096505475475,409956,38544,523,0
187113,137294,26803,1.2372114687978504,301961,11935,583,0
211497,66329,23087,0.4334730213228425,190357,37950,454,0
112191,147035,11628,1.0436344927872954,255701,28177,476,0
175787,108190,1050,1.0699659280869973,570710,38696,311,0
78632,146617,5940,0.8579103439407009,106022,30961,369,0
102657,124645,28680,1.0608373091003898,579945,91630,572,1
118331,112515,27546,1.4817871652617793,273211,27003,207,0
247734,14458,9104,1.3936316995256837,181962,28208,327,0
133152,113503,14265,0.36711447975429934,455386,47017,936,1
207474,123002,1922,0.7538796177141224,453496,18376,598,0
217910,86070,22457,1.1903196539118142,255386,27256,405,0
67385,77226,9184,0.7490367629117558,486509,88838,691,0
68375,129642,20856,0.732635471820394,127454,88309,710,1
76454,43608,25243,0.2715777865857558,447497,55937,765,1
172632,55248,3653,0.3010194263043991,547319,81879,549,0
163063,120690,4379,1.1072404803293316,181978,14879,451,0
84519,19264,3422,0.33298818807316943,274712,13087,737,1
105271,17677,15033,0.5147719778301761,375726,67598,898,1
231499,63236,25571,0.5773504825534632,378392,35405,982,1
215186,84444,28333,0.9435244442201112,164128,67995,995,1
89531,32189,15445,1.3360541150231233,278811,70132,761,1
106128,142838,28306,1.4546666368172332,140702,45368,118,0
64408,140877,15028,0.6234433791077914,187457,3985,559,0
136790,72058,27644,0.1577366958496615,134272,98519,326,0
140124,52412,8257,0.3173879329105423,479240,3303,383,0
151811,121320,29996,1.3725988052003888,202216,35575,476,0
181006,12112,4378,0.8115546704999609,349647,27075,516,0
130148,93282,8985,0.37617264082145474,340681,44292,697,0
161122,39316,18482,0.26062556257487035,265106,56191,757,1
217968,34827,9556,0.9436450087177025,465461,47691,484,0
229588,128466,22306,0.6056887878402258,345856,75621,832,1
121627,116237,4855,0.16562014713619694,596116,49832,162,0
81867,144233,15612,0.17871679556376294,282314,96680,753,1
131380,72017,1981,0.5346014848710584,119649,63589,960,1
122960,57262,24706,0.336509636003272,181106,33691,637,0
208988,93052,17380,1.0571543986987189,236476,90738,830,1
188072,97139,9859,0.5441209723672227,545450,4242,408,0
212377,146654,8881,1.4456471398669044,389952,76725,290,1
153401,79232,8123,1.2031346015706308,184869,53791,218,1
53817,18565,3436,1.0648940706771357,476630,46734,212,0
67826,120197,28174,1.0613055023232665,344658,83380,934,1
156058,147037,21732,0.33676460655832796,252861,50221,108,0
106214,148259,6248,0.5865549355012495,592422,2616,401,0
110697,84311,17400,1.0948992327698106,495829,65394,300,1
159819,87050,8232,1.1991358557285758,287479,76205,223,1
108677,144769,9520,1.0484361683089325,324371,14573,555,0
152428,86075,19464,0.14364767976818452,509793,29903,364,0
214284,105390,14365,0.7253861732453016,135452,41861,870,1
151918,76847,29571,1.2705923773870726,518066,58191,811,1
112406,98059,12900,1.2353742405640642,144678,3515,282,0
156292,149709,3221,1.218432550990476,369076,87485,460,1
109970,20497,7236,0.8884577340154588,139835,19758,985,1
158961,30729,23990,1.1497718490600006,383130,55300,121,1
92043,133826,29372,0.45978027000203914,579535,68466,596,0
129539,87454,6511,1.4328099518398705,112696,73938,398,1
85986,67032,17201,0.6790721818412786,329206,51236,581,0
83179,77461,25689,1.1925333976018289,572049,26872,989,1
140742,60014,10057,1.3489646579603431,345485,46681,471,0
99911,143510,18291,1.4055252968531686,158199,88032,971,1
80772,57787,10534,1.3576298988618045,561955,31821,508,0
84988,119649,14579,1.0173870324835785,281028,66833,338,1
73558,69843,16850,0.2767916417066446,471923,18341,428,0
238567,142972,1775,0.5383124293770579,524709,67036,868,1
84638,102412,20786,1.447790767212565,478154,13944,449,0
99849,14864,25935,0.6775893231095927,102898,55360,646,0
181727,141097,16406,0.8895883182931001,341110,31408,766,1
178935,14844,20363,1.4662436787396504,498940,29501,340,0
166582,14503,1408,0.287813151877099,397155,57846,431,0
208250,35981,22673,1.0628127010286086,268424,18317,752,1
165184,108214,21552,1.1842330135223917,440306,9822,322,0
111827,17386,1508,0.6508108234420703,401181,52385,722,1
99211,119191,25345,1.3577832023423357,419845,72683,407,1
65495,76807,3584,1.231159675022119,444305,45155,905,1
118684,100087,22158,0.5362200296863012,236674,79766,238,0
82184,134838,28452,0.30302444252834426,361595,2891,551,0
78488,45072,20496,0.246976242871309,581588,95509,679,0
243098,131943,6925,1.3265672984476506,227639,80330,174,1
87936,97880,7233,1.118753362527574,531670,78360,910,1
120237,122048,24211,0.9433050105536753,347197,55415,354,1
207924,68223,20248,0.7544572452328767,381159,77389,958,1
65746,106276,14756,0.17355337409022079,414465,16519,943,1
90905,41740,4242,0.2583351959116266,274251,57360,397,0
129364,78696,3641,0.14781214197282494,315718,51890,814,1
59642,65299,26259,0.27468659466411904,501690,85078,139,0
63900,43888,23959,1.3154655360061704,346716,29609,413,0
55826,136810,5516,0.9230735168189415,336346,35637,235,0
89378,72214,6038,0.12141411156290156,267195,38552,765,1
73464,60670,14434,0.6799326881290371,567646,41104,982,1
233393,124759,29090,1.499083124625957,447394,52352,983,1
136228,76852,14517,0.7374944982960093,392401,84198,670,0
218147,24171,10965,1.1674160114329932,327101,82294,220,1
140661,144262,29795,0.7343020811752976,144562,48792,904,1
86583,55515,3339,0.4087615821534425,533882,71386,756,1
160417,65385,16373,1.2585622607742055,514852,2858,592,0
99144,138117,27855,0.9160057399863699,550840,23856,837,1
204176,47553,10467,0.2584822067236806,598333,20557,713,1
133250,144863,20124,1.4337266332074505,338917,67761,953,1
55653,122136,7924,0.6823991424129102,450393,38180,470,0
68395,83373,27561,1.2490616813033233,441629,16848,421,0
83783,19004,20135,0.2729430753501314,260046,55394,298,0
101332,117749,7587,0.39133637386003084,284798,52434,231,0
155133,74268,25420,0.8367000243097464,334050,67992,180,1
100085,23691,29175,0.2557650733493455,175917,60654,219,0
205278,129566,8496,1.276871618764655,514708,85601,780,1
211216,109622,16874,0.5274067540582588,444432,31422,183,0
189965,45794,11731,0.28407891252897066,121010,83680,107,0
96690,67045,1424,0.32989700331818783,382318,13442,417,0
168224,97899,11546,0.4234849739829364,250120,40629,795,1
147824,73076,9546,0.34072941687681324,291417,90842,905,1
246375,12515,16659,0.6683223086940507,158161,2186,661,0
65102,45997,8521,0.6526675929019347,352824,89878,294,0
51966,35372,12972,0.4822186220841639,177405,10591,622,0
161588,62337,7326,0.510905569946339,596073,61864,144,0
140693,124342,20001,0.8695154990266551,399627,68517,130,1
120180,142818,1677,1.3382381206354488,499522,38959,948,1
60760,20777,28551,1.202635483648886,246754,94973,453,1
194487,126736,4637,0.19560773797835346,441573,32136,706,1
120431,41076,2378,0.8693409277854023,598843,97269,472,1
106580,75792,1628,1.171099077718709,239863,53008,214,1
69172,121207,11607,1.032550374180644,594736,21512,570,0
109669,117538,29921,1.3124824685225254,400038,92036,206,1
187904,144806,19562,1.2965660263345427,297479,17838,687,0
122210,148732,15280,0.2744556427672118,509962,4665,251,0
160765,119924,23814,1.1971338641428326,516309,62787,986,1
169423,108141,24037,1.3637080296762831,227902,64957,796,1
165607,93542,29572,0.2645517454615137,538324,62527,709,1
110563,132564,1002,0.2972974700928961,380571,53699,901,1
133001,17122,4942,0.5934505179417453,368708,69564,638,0
233116,91100,6746,1.4542728049955402,569905,82894,267,1
